id,name,price,brand
5,Macarrão Sêmola,3.59,Adria
17,Macarrão Ovos Pai,2.69,Barilla
32,Macarrão Sêmola,5.19,Renata
53,Frango Vegetal Tiras,26.5,Sadia
57,Macarrão Ovos Espaguetinho,3.15,Barilla
62,Bebida Base,19.5,A Tal da Castanha
63,Macarrão Instantâneo Galinha Caipira,0.98,Germani
72,Macarrão Sêmola,3.29,Renata
81,Macarrão Sêmola Penne,3.79,Galo
122,Batata Frita Lisa Frango,7.49,Elma Chips
132,Macarrão Instantâneo Lámen Mexicano,1.69,Nissin
143,Macarrão Sêmola Espaguete,3.79,Adria
173,Macarrão Instantâneo Frango,3.69,Nissin
182,Sanduíche X-Frango Hot Hit,6.49,Seara
189,Macarrão Sêmola Parafuso,4.99,Orquídea
198,Massas Caseiras Macarrão,4.49,Confiare
221,Sopão Feijão Macarrão,6.99,Maggi
237,Macarrão Instantâneo Carne Suave,1.69,Nissin
239,Empanado Frango Cenoura,12.5,Perdigão
247,Água Mineral Natural,1.09,Font Life
253,Macarrão Ovos Penne,3.15,Barilla
259,Frango Passarinho Congelado Copacol,13.99,Copacol
266,Macarrão Instantâneo Tomate Suave,1.69,Nissin
269,Macarrão Instantâneo Lámen Galinha,1.19,Renata
279,Água Mineral Natural,3.49,Bonafont Água Leve
299,Peito Frango Congelado,11.5,Sadia
316,Macarrão Sêmola Gravata,3.79,Galo
319,Bebida Base,3.69,Nestlé
342,Macarrão Espaguete Ovos,4.69,Piraquê
344,Coração Frango Congelado,34.99,Seara
361,Macarrão Ninho Fino Aldente,7.29,Piraquê
379,Empanadas Frango Congelada,11.99,Top Chef
381,Macarrão Ovos Linguine,3.15,Barilla
390,Strogonoff Frango Sadia Pacote,20.5,Sadia
397,Asa Frango Congelada,20.99,Super Frango
421,Sobrecoxa Frango Resfriada Bandeja,13.19,Big Hiper
423,Macarrão Instantâneo Carne Defumada,3.69,Nissin
434,Macarrão Sêmola,3.49,Renata
440,Lasanha Frango Mezzani Pacote,11.99,Mezzani
441,Empanado Frango Picante,17.99,Sadia
466,Macarrão Mac & Cheese,8.99,Seara
471,Frango Parmegiana Sadia,20.5,Sadia
510,Lasanha Frango Sadia Pacote,20.99,Sadia
513,Asa Frango Congelada,15.99,Big Hiper
519,Linguiça Frango Aurora,19.9,Aurora
521,Hambúrguer Frango Carne,20.5,Perdigão
532,Peito Frango Defumado,7.39,Ceratti
536,Bebida Base,15.99,Silk
539,Macarrão Sêmola,5.49,Knorr
540,Macarrão Instantâneo Tempero,1.09,Isabela
541,Macarrão Sêmola,3.59,Adria
545,Macarrão Sêmola,3.39,Adria
574,Coxas Frango Resfriadas,8.7,Languiru
585,Macarrão Sêmola Aletria,2.79,Galo
587,Bebida Base,19.5,A Tal da Castanha
616,Steak Frango Empanado,2.49,Seara
620,Hambúrguer Frango Empanado,2.99,Sadia
628,Bebida Base,14.99,Nestlé
639,Macarrão Sêmola Grano,6.79,Divella
664,Macarrão Sêmola,3.29,Renata
671,Macarrão Instantâneo Caesar Saladaria,1.69,Nissin
687,Frango Passarinho Congelado Seara,13.99,Seara
