id,name,price,brand
0,Lasanha à Bolonhesa Congelada,12.99,LeBon
1,Óleo de Milho Tipo,12.99,Soya
2,Refrigerante Pepsi Twist Garrafa,4.99,Pepsi
3,Aperitivo Bitter Campari 900ml,42.5,Campari
4,Adoçante Líquido Adocyl Sacarina,3.89,Adocyl
7,Água sem Gás Zero,3.69,Smart Water
8,Abobrinha Italiana Orgânica,8.99,Sentir Bem
9,Chocolate Quente em Cápsula,15.99,Tres
10,Refresco em Pó Tangerina,0.49,Frisco
11,Sorvete Biscoito Gingerbread Bacio,39.9,Bacio di Latte
12,Mistura para Bolo Milho,5.19,Fleischmann
13,Massa Talharim Italiany 500g,7.19,Italiany
14,Barra de Cereal Nuts,6.39,Nutry
15,Tempero em Pó Sabor,3.69,Maggi
16,Vinho Tinto Chileno Reserva,99.0,Casillero del Diablo
17,Macarrão com Ovos Pai,2.69,Barilla
18,Molho de Tomate com,11.9,Pomarola
19,Filezinho de Peito de,31.5,Korin
20,Sanduíche Hot Hit Bacon,6.49,Seara
21,Tomate Perinha Orgânico,9.99,Sentir Bem
22,Granola Maçã e Canela,10.5,Jasmine
23,Ovo de Codorna em,19.99,Petry
24,Cerveja Lager Premium Puro,7.69,Bellavista
25,Biscoito Cobertura Chocolate ao,5.99,Nestlé
26,Margarina com Sal +,3.2,Delícia
28,Biscoito Maisena Mabel Pacote,5.69,Mabel
29,Ovinhos de Amendoim Elma,12.5,Elma Chips
30,Pão de Forma Macadâmia,8.99,Confiare
31,Ketchup Original Sabores Cepêra,8.79,Sabores Cepêra
33,Costela do Traseiro Fatiada,36.31,Swift
34,Pastilha Frutas Te Gusta,2.69,Tic Tac
35,Merluza em Barrinhas Empanadas,18.9,Pescanova
36,Coco Ralado Úmido Adoçado,3.29,Coco do Vale
37,Uva Passa Clara e,11.99,Big Hiper
38,Espinafre Congelado em Folhas,11.99,D'aucy
39,Vinho Rosé Brasileiro Frisante,15.99,Vivant
40,Filé de Tilápia sem,24.99,Confiare
41,Whisky Escocês Blended Grand,119.9,Grand Old Parr
42,Arroz Japonês Tipo 1,35.99,Momiji
43,Molho de Alho Kenko,2.99,Kenko
45,Achocolatado em Pó Original,4.79,Toddy
46,Coxão Mole Resfriado Porcionado,56.39,Friboi
47,Wrap Costelinha com Barbecue,6.99,Seara
48,Bebida Láctea UHT Morango,1.99,Nestlé
49,Salame Italiano Fatiado Seara,15.5,Seara
50,Rum Brasileiro Carta Cristal,26.99,Montilla
51,Cogumelo Shitake,15.99,Big Hiper
52,Vinagre de Maçã Toscano,5.79,Toscano
53,Frango Vegetal em Tiras,26.5,Sadia
54,Alface Americana Orgânica,7.99,Sentir Bem
55,Polvilho Azedo Yoki Pacote,11.99,Yoki
56,Molho de Soja Aji,2.89,Aji no Shoyu
57,Macarrão com Ovos Espaguetinho,3.15,Barilla
58,Amendoim Torrado de Boteco,4.09,Dori
59,Biscoito de Maçã e,3.49,Nestlé
60,Refrigerante Cola Pepsi Garrafa,4.49,Pepsi
61,Bala Mastigável Lua Cheia,3.99,Dori
63,Macarrão Instantâneo Galinha Caipira,0.98,Germani
64,Alface Hidropônica,2.99,Big Hiper
65,Óleo de Soja Tipo,7.89,Cocamar
66,Café Cerrado Mineiro Gourmet,13.9,Confiare
67,Queijo Cream Cheese Tradicional,6.19,Danubio
68,Barbecue Hellmann's Tradicional Frasco,15.99,Hellmann's
69,Chá Preto Ice Tea,5.89,Leão
70,Refresco em Pó Maracujá,1.19,Tang
71,Bebida Láctea Fermentada Morango,4.49,Vigor
73,Farofa Apimentada Swift 400g,11.47,Swift
74,Cerveja American Lager Premium,3.25,Skol
75,Seleta de Legumes Vapza,11.99,Vapza
76,Adoçante Líquido Diet Sucralose,10.49,Zero Cal
77,Lambrusco Branco Italian Dell'emilia,32.99,II Roccolo
78,Arroz Branco Tio João,9.99,Tio João
79,Leite Fermentado Tradicional Zero,2.19,Activia
80,Vinho Tinto Francês Cuvée,39.99,Cave de Ladac
81,Macarrão de Sêmola Penne,3.79,Galo
82,Mistura para Bolo Chocolate,6.69,Fleischmann
83,Ovos Vermelhos Caipira Grande,13.99,Fazenda da Toca
84,Ervilha Reidratada em Conserva,2.49,Petitosa
85,Bombom Cobertura Chocolate Branco,2.49,Nestlé
86,Farinha de Mandioca Tipo,3.99,Yoki
87,Chá de Camomila Madrugada,3.29,Madrugada
88,Castanha-de-Caju Torrada e Salgada,13.5,Amigos Do Bem
89,Espumante Rosé Brasileiro Natural,28.5,Garibaldi
90,Creme de Cebola Swift,12.86,Swift
91,Melhorador de Farinha para,2.99,Fleischmann
92,Óleo de Girassol Tipo,11.5,Salada
93,Refrigerante Guaraná Antarctica 269ml,1.49,Guaraná Antarctica
94,Mistura para Panqueca Americana,6.89,Dr. Oetker
95,Creme Vegetal com Sal,6.79,Cremosy
97,Café Torrado em Grãos,54.99,Café do Ponto
98,Vinho Tinto Brasileiro Del,14.99,Del Grano
99,Vinho Tinto Chileno Carmenere,47.99,Santa Rita
100,Bebida Mista Alcoólica Gaseificada,4.09,51
101,Pão Bisnaguinha Tradicional Confiare,4.79,Confiare
102,Salame Pepperoni Fatiado Seara,11.5,Seara
103,Hambúrguer de Carne Bovina,22.99,Sadia
104,Cereal Matinal Kellogg's Sucrilhos,12.99,Kellogg's
105,"Chá Camomila, Capim-Cidreira, Hortelã",14.5,Dr. Oetker
106,Sweet Grape Trebeschi Pote,14.5,Trebeschi
107,Queijo Prato Fatiado Lac,19.99,Lac Lélo
108,Suco Integral de Uva,28.9,Casa Madeira
109,Rosquinha de Polvilho Cebola,4.49,Gusman
110,Rum Brasileiro Carta Ouro,32.99,Bacardi
111,Geleia Frutas Vermelhas Diet,19.5,Queensberry
112,Refrigerante Cola Pepsi Garrafa,1.49,Pepsi
113,Tempero em Pó Cebola,2.15,Maggi
114,Pão de Forma Tradicional,7.19,Bauducco
115,Cereal Matinal Chocolate Kellogg's,10.5,Kellogg's
116,Whisky Jim Beam Fire,94.5,Jim Beam
117,Patê de Atum Light,9.99,Gomes da Costa
118,Gin & Tonica Flor,18.5,Tanqueray
119,Biscoito Salgadinho Presuntinho Piraquê,3.99,Piraquê
120,Cenoura Ralada La Vita,4.99,La Vita
121,Manteiga Extra com Sal,12.99,Gran Mestri
122,Batata Frita Lisa Frango,7.49,Elma Chips
