id,name,price,brand
247,Água Mineral Natural sem,1.09,Font Life
279,Água Mineral Natural com,3.49,Bonafont Água Leve
838,Água Mineral Natural com,1.39,Floresta
892,Água Mineral Natural sem,6.29,Água da Pedra
1602,Água Mineral Natural sem,1.79,Bonafont Água Leve
1670,Água Mineral Natural sem,7.42,Bioleve
1830,Água Mineral Natural com,4.09,Água da Pedra
1875,Água Mineral Natural com,2.89,Crystal
1999,Água Mineral Natural sem,1.99,Bonafont Água Leve
2127,Água Mineral Natural sem,1.69,Minalba
2446,Água Mineral Natural sem,3.09,Ouro Fino
2693,Água Mineral Natural sem,2.69,Acqua Panna
2908,Água Mineral Natural sem,1.89,São Lourenço
3032,Água Mineral Natural com,1.49,Bonafont Água Leve
3269,Água Mineral Natural sem,16.99,Minalba
3299,Água Mineral Natural sem,1.69,Ouro Fino
3324,Água Mineral Natural sem,6.99,Crystal
3758,Água Mineral Natural com,2.39,Font Life
3896,Água Mineral Natural com,1.99,São Lourenço
3923,Água Mineral Natural com,2.49,Minalba
4078,Água Mineral Natural sem,2.29,Font Life
4128,Água Mineral Natural sem,1.49,Nestlé
4489,Água Mineral Natural sem,6.99,Ouro Fino
4598,Água Mineral Natural com,1.29,Font Life
4795,Água Mineral Natural com,1.89,Minalba
4857,Água Mineral Natural com,10.5,S. Pellegrino
4895,Água Mineral Natural sem,1.69,Crystal
