name,price,categories_1,brand,id
Lasanha à Bolonhesa Congelada LeBon Caixa 600g,12.99,,LeBon,1
Óleo de Milho Tipo 1 Soya 900ml,12.99,,Soya,2
Refrigerante Pepsi Twist Garrafa 2l,4.99,,Pepsi,3
Aperitivo Bitter Campari 900ml,42.5,,Campari,4
Adoçante Líquido Adocyl Sacarina Frasco 100ml,3.89,,Adocyl,5
Macarrão de Sêmola com Ovos Espaguetinho 9 Adria 500g,3.59,,Adria,6
Leite em Pó Instantâneo Integral CCGL Lata 400g,13.99,,CCGL,7
Água sem Gás Zero Sódio Smart Water Garrafa 591ml,3.69,,Smart Water,8
Abobrinha Italiana Orgânica,8.99,,Sentir Bem,9
Chocolate Quente em Cápsula Chocolatto Tres Caixa 10 Unidades,15.99,,Tres,10
Refresco em Pó Tangerina Frisco Sachê 25g,0.49,,Frisco,11
Sorvete Biscoito Gingerbread Bacio di Latte Pote 490ml,39.9,,Bacio di Latte,12
Mistura para Bolo Milho Cremoso Fleischmann Sachê 390g,5.19,,Fleischmann,13
Massa Talharim Italiany 500g,7.19,,Italiany,14
Barra de Cereal Nuts Sementes Nutry Caixa 2 Unidades,6.39,,Nutry,15
Tempero em Pó Sabor Carne Maggi Sachê 50g,3.69,,Maggi,16
Vinho Tinto Chileno Reserva Privada Casillero del Diablo Cabernet Sauvignon Valle del Maipo 750ml,99,,Casillero del Diablo,17
Macarrão com Ovos Pai Nosso Barilla 500g,2.69,,Barilla,18
Molho de Tomate com Manjericão Pomarola Chef Sachê 420g,11.9,,Pomarola,19
Filezinho de Peito de Frango Congelado Orgânico sem Pele sem Osso Korin Bandeja 600g,31.5,,Korin,20
Sanduíche Hot Hit Bacon e Cheddar Seara Caixa 145g,6.49,,Seara,21
Tomate Perinha Orgânico,9.99,,Sentir Bem,22
Granola Maçã e Canela Jasmine Pouch 300g,10.5,,Jasmine,23
Ovo de Codorna em Conserva Petry Vidro 300g,19.99,,Petry,24
Cerveja Lager Premium Puro Malte Bellavista Garrafa 600ml,7.69,,Bellavista,25
Biscoito Cobertura Chocolate ao Leite Calipso Nestlé Pacote 130g,5.99,,Nestlé,26
Margarina com Sal + Sabor e Cremosidade Delícia Pote 250g,3.2,,Delícia,27
Café Torrado e Moído Premium Estrada Real 3 Corações Pacote 500g,15.99,,3 Corações,28
Biscoito Maisena Mabel Pacote 400g,5.69,,Mabel,29
Ovinhos de Amendoim Elma Chips Pacote 400g Embalagem Econômica,12.5,,Elma Chips,30
Pão de Forma Macadâmia e Chia Confiare Padaria Artesanal 400g,8.99,,Confiare,31
Ketchup Original Sabores Cepêra Squeeze 400g,8.79,,Sabores Cepêra,32
Macarrão de Sêmola com Ovos Ninho 2 Renata Pacote 500g,5.19,,Renata,33
"Costela do Traseiro Fatiada Swift Aprox. 1,3kg",36.31,,Swift,34
